country;occupation;gender;age;Platform
Spain;doctor;Female;39;Wii
Spain;nurse;Female;34;NES
Spain;writer;Male;27;GB
Spain;writer;Female;30;DS
Spain;nurse;Non-binary;24;PS2
Spain;writer;Female;32;SNES
Spain;chef;Male;26;X360
Spain;doctor;Male;22;PS3
Spain;engineer;Female;37;N64
Spain;teacher;Male;25;XB
Spain;writer;Female;23;GBA
Spain;writer;Male;25;Wii
Spain;teacher;Male;25;NES
Spain;teacher;Female;37;GB
Spain;artist;Female;25;DS
Spain;plumber;Male;24;N64
Spain;engineer;Male;40;XB
Spain;chef;Female;38;GBA
Spain;doctor;Male;19;NES
Spain;doctor;Female;38;GB
Spain;writer;Male;40;DS
Spain;doctor;Bigender;19;PS2
Spain;doctor;Female;21;SNES
Spain;scientist;Female;19;X360
Spain;engineer;Female;23;PS3
Spain;scientist;Female;31;N64
Spain;writer;Male;19;XB
Spain;plumber;Female;18;GBA
Spain;plumber;Male;35;Wii
Spain;writer;Female;34;NES
Spain;chef;Female;39;GB
Spain;artist;Male;37;DS
Spain;chef;Male;23;N64
Spain;lawyer;Male;33;XB
Spain;plumber;Female;21;GBA
Spain;engineer;Female;32;NES
Spain;scientist;Female;23;GB
Spain;nurse;Female;22;DS
Spain;engineer;Female;26;PS2
Spain;plumber;Female;38;SNES
Spain;engineer;Female;29;PS3
Spain;teacher;Male;35;N64
Spain;artist;Male;39;XB
Spain;teacher;Female;35;GBA
Spain;writer;Male;24;Wii
Spain;doctor;Male;19;NES
Spain;doctor;Female;19;Wii
Spain;teacher;Male;29;NES
Spain;doctor;Female;36;GB
Spain;scientist;Female;23;DS
Spain;engineer;Male;21;PS2
Spain;engineer;Female;18;SNES
Spain;writer;Male;25;X360
Spain;engineer;Male;32;PS3
Spain;chef;Male;30;N64
Spain;teacher;Male;22;XB
Spain;writer;Female;32;GBA
Spain;engineer;Female;35;Wii
Spain;writer;Female;38;NES
Spain;artist;Male;38;GB
Spain;teacher;Male;24;DS
Spain;chef;Female;31;N64
Spain;artist;Male;39;XB
Spain;chef;Female;33;GBA
Spain;artist;Male;33;NES
Spain;engineer;Female;37;GB
Spain;scientist;Female;19;DS
Spain;chef;Male;31;PS2
Spain;plumber;Male;39;SNES
Spain;engineer;Female;39;X360
Spain;doctor;Female;20;PS3
Spain;artist;Female;33;N64
Spain;doctor;Female;35;XB
Spain;plumber;Male;30;GBA
Spain;artist;Male;22;Wii
Spain;nurse;Male;24;NES
Spain;engineer;Female;36;GB
Spain;teacher;Female;18;DS
Spain;teacher;Female;31;N64
Spain;writer;Male;22;XB
Spain;plumber;Male;37;GBA
Spain;doctor;Male;21;NES
Spain;doctor;Male;32;GB
Spain;plumber;Male;31;DS
Spain;writer;Male;20;PS2
Spain;teacher;Female;29;SNES
Spain;lawyer;Male;25;PS3
Spain;nurse;Male;33;N64
Spain;chef;Female;18;XB
Spain;nurse;Male;21;GBA
Spain;teacher;Female;29;Wii
Spain;chef;Female;32;NES
Spain;artist;Female;20;Wii
Spain;scientist;Female;31;NES
Spain;artist;Female;19;GB
Spain;plumber;Female;31;DS
Spain;teacher;Female;33;PS2
Spain;doctor;Female;21;SNES
Spain;chef;Male;38;X360
Spain;scientist;Female;39;PS3
Spain;doctor;Male;35;N64
Spain;plumber;Female;32;XB
Spain;scientist;Female;30;GBA
Spain;plumber;Female;29;Wii
Spain;artist;Male;30;NES
Spain;lawyer;Female;20;GB
Spain;chef;Male;24;DS
Spain;plumber;Female;22;N64
Spain;plumber;Female;30;XB
Spain;scientist;Male;30;GBA
Spain;scientist;Female;28;NES
Spain;chef;Male;22;GB
Spain;lawyer;Female;29;DS
Spain;nurse;Female;21;PS2
Spain;scientist;Non-binary;18;SNES
Spain;plumber;Male;36;X360
Spain;teacher;Male;37;PS3
Spain;plumber;Male;27;N64
Spain;chef;Female;34;XB
Spain;plumber;Female;22;GBA
Spain;doctor;Male;35;Wii
Spain;artist;Agender;24;NES
Spain;scientist;Agender;31;GB
Spain;doctor;Female;19;DS
Spain;writer;Female;26;N64
Spain;teacher;Bigender;30;XB
Spain;engineer;Male;20;GBA
Spain;plumber;Female;24;NES
Spain;teacher;Polygender;19;GB
Spain;plumber;Male;38;DS
Spain;writer;Male;26;PS2
Spain;plumber;Male;31;SNES
Spain;engineer;Female;40;PS3
Spain;plumber;Female;28;N64
Spain;doctor;Non-binary;19;XB
Spain;scientist;Male;26;GBA
Spain;scientist;Female;20;Wii
Spain;scientist;Male;22;NES
Spain;plumber;Male;25;Wii
Spain;nurse;Male;28;NES
Spain;plumber;Female;34;GB
Spain;scientist;Male;24;DS
Spain;artist;Female;34;PS2
Spain;engineer;Female;35;SNES
Spain;chef;Male;33;X360
Spain;artist;Male;21;PS3
