elap_distance,kj,cd
13.3,01:08:15,01:16:16
8.4,01:46:40,01:57:51
9.6,02:37:20,03:00:07
8.3,03:30:28,05:02:02
10.6,04:52:41,05:29:43
10.6,06:14:04,07:01:52
7.1,06:59:56,08:01:50
4,07:34:27,08:43:53
4.5,07:56:38,09:11:50
4.4,08:20:29,09:40:51
4.9,09:16:26,10:38:31
12.5,10:43:27,11:35:42
4.6,11:37:25,12:12:56
9.9,12:41:53,13:09:38
13.6,14:06:37,14:13:28
5,14:32:42,15:49:21
6.6,15:34:20,17:41:19
4.9,16:04:31,18:16:38
3.3,16:48:13,19:11:52
7.3,17:30:52,20:21:21
7.7,18:44:41,20:24:11
3.5,19:11:36,22:35:02
7,19:49:30,23:29:14
