Rank,Time,"Surname, first name "
1,20:45:59 h ," D'Haene, Francois"
2,20:58:31 h ," Dunand-Pallaz, Aurelien"
3,21:12:43 h ," Blanchard, Mathieu"
4,21:38:44 h ," Pommeret, Ludovic"
5,21:52:47 h ," Grangier, Germain"
6,22:22:06 h ," Namberger, Hannes"
7,22:30:54 h ," Dauwalter, Courtney"
8,23:00:10 h ," Curmer, Nicolas Gregoire"
8,23:00:10 h ," Pazos, Diego"
10,23:08:05 h ," Clement, Mathieu"
11,23:17:40 h ," Wong, Ho-Chung"
12,23:42:28 h ," Noel, Yannick"
13,23:45:41 h ," Ornati, Giulio"
14,23:56:20 h ," Tolstenko, Aleksei"
15,23:57:07 h ," Aizpuru Larranaga, Jon"
16,24:09:42 h ," Bruyas, Camille"
17,24:16:25 h ," Viet, Vincent"
18,24:34:36 h ," Ferrari, Ugo"
19,24:37:06 h ," Bublak, Benjamin"
20,24:39:18 h ," Dominguez Ledo, Javier"
21,24:49:02 h ," Rovera, Rene"
22,24:54:19 h ," Coelho de Sousa, Bruno Jose"
23,25:08:29 h ," Kotka, Mimmi"
24,25:09:31 h ," Cerisier, Nicolas"
25,25:12:33 h ," Laby, Jeremy"
26,25:17:54 h ," Helier, Clement"
27,25:17:55 h ," Tazi, Samir"
28,25:24:10 h ," Golea, Cedric"
29,25:34:37 h ," Durand, Regis"
30,25:39:18 h ," Garau Mairata, Pere Lluis"
31,25:50:27 h ," Stverak, Tomas"
32,25:51:36 h ," Marin, Jeremie"
33,25:54:33 h ," Delespierre, Marion"
34,25:54:39 h ," Jay, Luke"
35,25:59:45 h ," Roux, Stephen"
36,26:06:17 h ," Bühler, Luzia"
37,26:08:56 h ," Olle Bernades, Marc"
38,26:19:09 h ," Lecuru, Thibaut"
39,26:21:23 h ," Rodriguez Fernandez, Jose Antonio"
40,26:37:46 h ," Perrier, Martin"
41,26:40:26 h ," Purschke, Andre"
42,26:40:48 h ," Nakache, Maryline"
43,26:42:04 h ," Boucheix, Alexandre"
44,26:44:41 h ," Jamsin, Lucie"
45,26:45:08 h ," Grenot, Maxime"
46,26:51:20 h ," Hajnal, Robert"
47,27:05:30 h ," Poligne, Maxime"
48,27:21:49 h ," Mirassou, Jerome"
49,27:25:41 h ," Arroyo Moreno, Gines"
50,27:29:55 h ," Frack, Louis"
51,27:38:33 h ," Sondaz, Nicolas"
52,27:39:45 h ," Schide, Katie"
53,27:41:20 h ," Shepherd, Samuel"
54,27:42:09 h ," de Couesnongle, Hugues-Marie"
55,27:43:39 h ," Bourgeois, Ludovic"
56,27:46:36 h ," Hall, Benjamin"
57,27:49:25 h ," Langel, Kai"
58,27:53:26 h ," Hruska, Zdenek"
59,27:55:36 h ," Tremps Perez, Claudia"
60,28:04:11 h ," Keith, Eoin"
61,28:07:42 h ," Gubert, Marco"
62,28:09:20 h ," McConnachie, Stuart"
