Year,Rank,Time,"Surname, first name "
2022,1,19:49:30 h ," Jornet Burgada, Kilian"
2022,2,19:54:50 h ," Blanchard, Mathieu"
2022,3,20:34:35 h ," Evans, Thomas"
2022,4,21:12:12 h ," Walmsley, Jim"
2022,5,21:27:50 h ," Miller, Zachary"
2022,6,21:28:14 h ," Marmissolle, Benat"
2022,7,21:35:45 h ," Joyeux-Bouillon, Arthur"
2022,8,21:46:16 h ," Russi, Jonas"
2022,9,22:07:58 h ," Hajnal, Robert"
2022,10,22:09:19 h ," Garrivier, Thibaut"
2022,11,22:24:28 h ," Symonds, Andrew"
2022,12,22:26:33 h ," Marquet, Thibault"
2022,13,22:27:39 h ," Berson, Alban"
2022,14,22:36:10 h ," Elam, Jimmy"
2022,15,22:40:05 h ," Deneffe, Guillaume"
2022,16,22:52:00 h ," Mogavero, Jeff"
2022,17,22:54:25 h ," Barrera, John"
2022,18,22:55:30 h ," Boucheix, Alexandre"
2022,19,23:03:42 h ," Darbyshire, Mark"
2022,20,23:04:39 h ," Deng, Guo-Min"
2022,21,23:11:43 h ," Beraud, Alexandre"
2022,22,23:15:12 h ," Schide, Katie"
2022,23,23:28:34 h ," Farvard, Rod"
2022,24,23:32:34 h ," Chorier, Julien"
2022,25,23:35:26 h ," Lesniak, Kamil"
2022,26,23:38:11 h ," Ferrari, Ugo"
2022,27,23:42:43 h ," Grenot, Maxime"
2022,28,23:44:34 h ," Mamba, Hajime"
2022,29,23:45:24 h ," Paladin, Massimo"
2022,30,23:55:03 h ," Rueda, Santos Gabriel"
2022,31,23:58:21 h ," Simpanen, Juuso"
2022,32,24:04:06 h ," Priadka, Marian"
2022,33,24:04:27 h ," Wong, Ho-Chung"
2022,34,24:05:24 h ," Nishimura, Hirokazu"
2022,35,24:13:03 h ," Mastrotto, Roberto"
2022,36,24:15:12 h ," Court, Sylvain"
2022,37,24:16:34 h ," Laney, David"
2022,38,24:21:03 h ," Galeati, Gianluca"
2022,39,24:28:52 h ," Moncany, Jonathan"
2022,40,24:31:22 h ," Hogan, Marianne"
2022,41,24:39:33 h ," Moulai, Tony"
2022,42,24:39:48 h ," Manser, Walter"
2022,43,24:40:59 h ," Colom Masip, Daniel"
2022,44,24:49:26 h ," Lejeune, Arnaud"
2022,45,24:51:23 h ," Tazi, Samir"
2022,46,24:57:10 h ," Jimenez, Moises"
2022,47,25:07:44 h ," Gerbin, Kaytlyn"
2022,48,25:08:01 h ," Woodward, Canyon"
2022,49,25:10:05 h ," Ferretto, Alberto"
2022,50,25:11:27 h ," Swanson, Seth"
2022,51,25:17:51 h ," Kim, Ji-Su"
2022,52,25:22:12 h ," Green, Tyler"
2022,53,25:27:07 h ," Sawayanagi, Takumi"
2022,54,25:30:59 h ," Schlarb, Jason"
2022,55,25:50:58 h ," Kiangchaipaiphana, Jantaraboon"
2022,56,26:00:00 h ," Henri, Sebastien"
2022,57,26:06:39 h ," Tidd Kimball, John"
2022,58,26:08:42 h ," Henin, Arnaud"
2022,59,26:13:16 h ," Berchet, Remi"
2022,60,26:13:58 h ," Pauly, Jocelyne"
2022,61,26:32:06 h ," Kik, Tomasz"
2022,62,26:32:39 h ," Csillag, Eszter"
2022,63,26:33:18 h ," Morville, Julien"
2022,64,26:33:36 h ," Nakatani, Ryota"
2022,65,26:33:58 h ," Mandekic, Marin"
2022,66,26:37:08 h ," Hawgood, Emily"
2022,66,26:37:08 h ," Garrido Reyes, Jose Maria"
2022,68,26:38:30 h ," Vidal Gil, Moises"
2022,69,26:41:37 h ," Chabanne, Vincent"
2022,70,26:48:13 h ," Eychenne, Stephane"
2022,71,26:48:58 h ," Schjølberg, Hallvard"
2022,72,26:52:03 h ," Delepine, Arnaud"
2022,73,27:07:16 h ," Bouchet, Antoine"
2022,74,27:14:10 h ," Corbi Tomas, Manuel"
2022,75,27:14:21 h ," Xiang, Fu-Zhao"
2022,76,27:16:57 h ," Skobierski, Michael"
2022,77,27:17:49 h ," Sio Seijo, Aroa"
2022,78,27:22:55 h ," Prigent, Mael"
2022,79,27:25:04 h ," Swierc, Marcin"
2022,80,27:28:27 h ," Onifa, John Ray Galutera"
2022,81,27:29:39 h ," Camus, Sylvain"
2022,82,27:31:46 h ," Pretto, Francesca"
2022,83,27:32:14 h ," Patterson, Darryn"
