Rank,Time,"Surname, first name"
1,19:37:43 h,"Walmsley, Jim"
2,19:58:58 h,"Miller, Zachary"
3,20:10:52 h,"Grangier, Germain"
4,20:54:25 h,"Blanchard, Mathieu"
5,21:00:54 h,"Pommeret, Ludovic"
6,21:10:38 h,"Garrivier, Thibaut"
7,21:19:21 h,"Green, Tyler"
8,21:20:46 h,"Namberger, Hannes"
9,21:31:22 h,"Joyeux-Bouillon, Arthur"
10,21:38:11 h,"Chassagne, Baptiste"
11,21:47:12 h,"Lopez Iturralde, Joaquin Andres"
12,21:55:59 h,"Jones, Daniel"
13,21:59:01 h,"Rueda, Santos Gabriel"
14,22:07:10 h,"Duo, Ji"
15,22:13:58 h,"Hawker, Scott"
16,22:25:20 h,"Joly de Lotbiniere, Thomas"
17,22:32:59 h,"Farvard, Rod"
18,22:38:02 h,"Butaci, Octaviu Raul"
19,22:41:09 h,"Yun, Yan-Qiao"
20,23:01:40 h,"Pereyra, Sergio Gustavo"
21,23:03:13 h,"Boucheix, Alexandre"
22,23:10:40 h,"Ferrari, Ugo"
23,23:17:35 h,"Rovera, Rene"
24,23:17:36 h,"Pazos, Diego"
25,23:29:14 h,"Dauwalter, Courtney"
26,23:31:32 h,"Grinius, Gediminas"
27,23:45:26 h,"Grasel, Florian"
28,23:47:43 h,"Fleury, Bastien"
29,23:56:00 h,"Woodward, Canyon"
30,24:10:33 h,"Lesniak, Kamil"
31,24:10:52 h,"Hartmuth, Katharina"
32,24:22:50 h,"L'Hirondel, Blandine"
33,24:44:37 h,"Le Boudec, Theo"
34,24:48:23 h,"Desille, Clement"
35,24:50:18 h,"Li, Zai-Ran"
36,24:50:33 h,"Xiang, Fu-Zhao"
37,24:53:46 h,"MacDonald, Adrian"
38,24:58:38 h,"Wang, Ji-Qian"
39,25:01:39 h,"Kik, Tomasz"
40,25:02:26 h,"Maiora Elizondo, Maite"
41,25:04:40 h,"Peters, Ethan"
42,25:17:50 h,"Sandes, Ryan"
43,25:18:43 h,"Yoshimura, Kensuke"
44,25:20:23 h,"Solinska, Katarzyna"
45,25:27:06 h,"Sedlak, Ales"
46,25:28:05 h,"Kaufmann, Gerhard"
47,25:35:07 h,"Nishikata, Hayato"
48,25:44:05 h,"Hutter, Alexander"
49,25:46:06 h,"Chew, David"
50,25:48:54 h,"MacDonald, Ailsa"
51,25:50:49 h,"Godineau, Edouard"
52,25:54:28 h,"Perrot, Guillaume"
53,25:56:26 h,"Ikehata, Takuya"
54,26:03:24 h,"Perez Fernandez, Daniel"
55,26:08:16 h,"Byrne, Gavin Scott"
56,26:08:31 h,"Duboz, Patrick"
57,26:09:40 h,"Ryan, David"
58,26:13:36 h,"Øvstehage, Vemund"
59,26:15:13 h,"Caffier, Arthur"
60,26:15:44 h,"Colt, Jeffrey"
61,26:18:09 h,"Golea, Cedric"
62,26:21:24 h,"Yingling, Leah"
63,26:21:36 h,"Bethencourt Guimera, Rafael"
64,26:23:06 h,"Backhausen, Majell"
65,26:29:29 h,"Gobaille, Mathieu"
66,26:33:13 h,"Deville Cavellin, Matthieu"
67,26:42:56 h,"Jurek, Michal"
68,26:45:44 h,"Zufferey, Yannik"
69,26:49:27 h,"Tollefson, Timo"
69,26:49:27 h,"Segard, Augustin"
71,26:50:06 h,"Arce, Patrick"
72,26:58:53 h,"Stanley, Sabrina"
73,26:59:55 h,"Murrel, Jack"
74,27:00:46 h,"Tucci, Simone"
75,27:02:56 h,"Rabe, Magnus"
76,27:07:11 h,"Bruno, Tobias"
77,27:07:50 h,"Mira Llorens, Efren"
78,27:09:16 h,"Kim, Ji-Su"
79,27:09:23 h,"Lin, Xiao"
80,27:12:55 h,"Dabrowski, Kamil"
81,27:19:04 h,"Arias Rozada, Borja"
82,27:19:16 h,"Guillerm, Yann"
83,27:20:34 h,"Olivier, Florian"
84,27:21:02 h,"Gallay, Arnaud"
85,27:22:56 h,"Urbanski, Matthew"
86,27:24:36 h,"Vadzis, Arturs"
87,27:25:31 h,"Raimbault, Juste"
88,27:27:19 h,"Englund, Tom"
89,27:28:28 h,"Moissonnier, Louis-Christophe"
90,27:28:49 h,"Beaumatin, Nicolas"
91,27:32:19 h,"Chauvin, Anthony"
92,27:32:46 h,"Marcuccilli, Jeremie"
93,27:36:59 h,"Haya Calderon, Hugo"
94,27:37:21 h,"Pailler, Tony"
95,27:39:23 h,"Bartholomew, Lucinda (Lucy)"
96,27:40:25 h,"Carimentrand, Baptiste"
97,27:40:32 h,"Robert, Sebastien"
98,27:44:55 h,"Bamford, Nicholas"
99,27:49:13 h,"Buffard, Sebastien"
100,27:51:12 h,"Luisier, Jean-Gregoire"
101,27:58:07 h,"Thenaisie, Mathias"
102,27:58:47 h,"El Sawy, Omar"
103,28:01:54 h,"Perez, David"
104,28:01:55 h,"Brunel, Florian"
105,28:04:41 h,"Vidal Gil, Moises"
106,28:05:39 h,"Heslop, Claire"
107,28:05:47 h,"Nanaszko, Michael"
108,28:08:48 h,"Masramon Ballus, Marc"
109,28:09:28 h,"Contesti Coll, Antonio"
110,28:10:06 h,"Sole Ametller, Marc"
111,28:18:02 h,"Lee, Anthony"
112,28:20:49 h,"Jan, Kevin"
113,28:21:05 h,"Klancnik Potrc, Martina"
114,28:23:40 h,"Aussel, Julien"
