Rank,Club,Country,YOB,Gender
1,Hoka X Wahoo  ,USA ,1990,M
2,the North Face  ,USA ,1988,M
3,the North Face  ,FRA ,1990,M
4,Salomon  ,FRA ,1987,M
5,Team Hoka  ,FRA ,1975,M
6,Hoka  ,FRA ,1990,M
7,Nike Trail  ,USA ,1984,M
8,Dynafit  ,GER ,1989,M
9,on Running  ,FRA ,1994,M
10,Team Sidas-Matryx  ,FRA ,1993,M
11,Kailas/ Imptek  ,ECU ,1992,M
12,Asics Trail Team  ,NZL ,1990,M
13,Columbia Europe  ,ARG ,1991,M
14,Hoka  ,CHN ,1992,M
15,Team Vibram  ,NZL ,1987,M
16,Hour 7  ,GBR ,1991,M
17,"the North Face, Buff  ",USA ,1995,M
18,Team Bigk  ,ROU ,1985,M
19,,CHN ,1987,M
20,Scarpa  ,ARG ,1994,M
21,Casquette Verte  ,FRA ,1991,M
22,Team Altra  ,FRA ,1992,M
23,Team Garmin Adventure  ,FRA ,1968,M
24,Compressport Internati...  ,SUI ,1984,M
25,Salomon  ,USA ,1985,F
26,Team Vibram  ,LTU ,1979,M
27,BOA Trail Team  ,AUT ,1981,M
28,Team Cimalp  ,FRA ,1989,M
29,Green Racing Project -...  ,USA ,1993,M
30,Hoka Garmin Team  ,POL ,1993,M
31,Hoka  ,GER ,1995,F
32,Kiprun Women Team  ,FRA ,1991,F
33,,FRA ,2000,M
34,Team Brooks  ,FRA ,1990,M
35,P.D.F  ,CHN ,1986,M
36,Hoka  ,CHN ,1991,F
37,on Trail  ,USA ,1988,M
38,P.D.F.越野  ,CHN ,1988,M
39,Slovak Ultra Trail Team  ,SVK ,1982,M
40,Team Vibram  ,ESP ,1980,F
41,,CAN ,1998,M
42,Salomon  ,RSA ,1982,M
43,Team 100Mile  ,JPN ,1984,M
44,on Running  ,POL ,1990,F
45,TJ Magla/Rock Point  ,CZE ,1988,M
46,BOA Trail Team  ,AUT ,1984,M
47,浜松うましか  ,JPN ,1992,M
48,Brooks Trail Runner  ,AUT ,1992,M
49,,AUS ,1984,M
50,Saucony  ,CAN ,1980,F
51,les Voisins Traileurs  ,FRA ,1980,M
52,,FRA ,1991,M
53,Full Tones  ,JPN ,1992,M
54,Kailas International Team  ,ESP ,1979,M
55,,IRL ,1987,M
56,Team Trail'Titude  ,FRA ,1980,M
57,,IRL ,1985,M
58,Salomon Norway  ,NOR ,1994,M
59,,FRA ,1988,M
60,DVT  ,USA ,1991,M
61,Team Scarpa France  ,FRA ,1980,M
62,,USA ,1991,F
63,Tenerife Trail  ,ESP ,1978,M
