INDICE,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
0,0,2023-01-01 00:00:31,596,3156,533.07,31,0,0,0
1,1,2023-01-01 00:02:10,4961,3412,808.56,130,0,0,0
2,2,2023-01-01 00:07:56,2,1365,1442.94,476,0,1,1
3,3,2023-01-01 00:09:29,4128,8737,620.65,569,0,0,0
4,4,2023-01-01 00:10:34,927,9906,490.66,634,0,0,0
5,5,2023-01-01 00:10:45,568,8803,401.17,645,0,0,0
6,6,2023-01-01 00:11:30,2803,5490,938.54,690,0,0,0
7,7,2023-01-01 00:11:44,4684,2486,206.53,704,0,0,0
8,8,2023-01-01 00:11:53,4128,8354,253.47,713,0,0,0
9,9,2023-01-01 00:13:44,541,6212,555.63,824,0,0,0
10,10,2023-01-01 00:16:59,4554,2198,575.43,1019,0,0,0
11,11,2023-01-01 00:17:44,2000,7997,651.42,1064,0,0,0
12,12,2023-01-01 00:18:01,1948,3372,537.04,1081,0,0,0
13,13,2023-01-01 00:19:22,2938,1516,197.46,1162,0,0,0
14,14,2023-01-01 00:19:49,2989,4111,207.87,1189,0,0,0
15,15,2023-01-01 00:20:03,3842,1693,220.9,1203,0,0,0
16,16,2023-01-01 00:20:25,4361,4322,916.4,1225,0,0,0
17,17,2023-01-01 00:20:40,4177,6270,617.88,1240,0,0,0
18,18,2023-01-01 00:20:48,3700,471,845.86,1248,0,0,0
19,19,2023-01-01 00:21:06,3671,4223,637.92,1266,0,0,0
20,20,2023-01-01 00:21:09,1270,931,1378.62,1269,0,1,1
21,21,2023-01-01 00:22:14,2899,6019,353.13,1334,0,0,0
22,22,2023-01-01 00:23:32,4582,7998,476.31,1412,0,0,0
23,23,2023-01-01 00:25:24,508,9687,1376.93,1524,0,1,1
24,24,2023-01-01 00:26:37,2323,1257,628.38,1597,0,0,0
25,25,2023-01-01 00:26:54,1152,8621,528.43,1614,0,0,0
26,26,2023-01-01 00:27:02,2389,9739,306.4,1622,0,0,0
27,27,2023-01-01 00:27:27,967,9401,720.16,1647,0,0,0
28,28,2023-01-01 00:28:07,616,7758,40.38,1687,0,0,0
29,29,2023-01-01 00:28:12,4205,2288,677.17,1692,0,0,0
30,30,2023-01-01 00:29:05,1106,1317,68.97,1745,0,0,0
31,31,2023-01-01 00:29:47,2605,6231,366.06,1787,0,0,0
32,32,2023-01-01 00:30:05,360,1611,868.48,1805,0,0,0
33,33,2023-01-01 00:30:45,4052,3260,29.98,1845,0,0,0
34,34,2023-01-01 00:31:27,3944,2696,714.53,1887,0,0,0
35,35,2023-01-01 00:31:51,1753,8676,1145.15,1911,0,1,1
36,36,2023-01-01 00:32:35,183,4972,375.9,1955,0,0,0
37,37,2023-01-01 00:32:53,4563,4309,307.47,1973,0,0,0
38,38,2023-01-01 00:33:22,1546,2897,313.84,2002,0,0,0
39,39,2023-01-01 00:33:56,4691,3227,448.0,2036,0,0,0
40,40,2023-01-01 00:33:57,4613,4971,314.96,2037,0,0,0
41,41,2023-01-01 00:34:14,3445,7820,357.87,2054,0,0,0
42,42,2023-01-01 00:34:29,731,9969,517.56,2069,0,0,0
43,43,2023-01-01 00:34:45,3425,2930,1177.45,2085,0,1,1
44,44,2023-01-01 00:36:18,2916,1315,139.78,2178,0,0,0
45,45,2023-01-01 00:36:39,855,4297,770.94,2199,0,0,0
46,46,2023-01-01 00:36:39,2033,2061,458.9,2199,0,0,0
47,47,2023-01-01 00:37:06,4999,3885,355.9,2226,0,0,0
48,48,2023-01-01 00:37:45,1660,1562,399.77,2265,0,0,0
49,49,2023-01-01 00:38:22,4853,1417,35.51,2302,0,0,0
50,50,2023-01-01 00:38:40,4489,4112,1295.64,2320,0,1,1
51,51,2023-01-01 00:38:55,4710,511,124.09,2335,0,0,0
52,52,2023-01-01 00:39:10,4106,4930,836.05,2350,0,0,0
53,53,2023-01-01 00:40:12,935,7005,29.89,2412,0,0,0
54,54,2023-01-01 00:43:00,4143,6255,551.67,2580,0,0,0
55,55,2023-01-01 00:43:59,382,2079,112.22,2639,0,0,0
56,56,2023-01-01 00:44:14,2594,5446,705.73,2654,0,0,0
57,57,2023-01-01 00:44:20,4465,8405,308.86,2660,0,0,0
58,58,2023-01-01 00:45:46,3765,8705,117.4,2746,0,0,0
59,59,2023-01-01 00:45:51,381,7869,185.63,2751,0,0,0
60,60,2023-01-01 00:46:39,1380,8113,25.02,2799,0,0,0
61,61,2023-01-01 00:47:24,3431,7795,554.11,2844,0,0,0
62,62,2023-01-01 00:47:48,3873,1273,177.46,2868,0,0,0
63,63,2023-01-01 00:48:13,2798,8688,735.66,2893,0,0,0
64,64,2023-01-01 00:48:26,4401,1409,225.55,2906,0,0,0
65,65,2023-01-01 00:48:27,1181,6730,532.18,2907,0,0,0
66,66,2023-01-01 00:49:01,4044,6763,934.31,2941,0,0,0
67,67,2023-01-01 00:50:02,1525,3736,685.5,3002,0,0,0
68,68,2023-01-01 00:50:33,2373,5821,250.67,3033,0,0,0
69,69,2023-01-01 00:51:19,4235,3352,246.31,3079,0,0,0
70,70,2023-01-01 00:51:21,712,6214,182.62,3081,0,0,0
71,71,2023-01-01 00:51:33,1597,4721,827.83,3093,0,0,0
72,72,2023-01-01 00:51:48,1186,3592,1219.13,3108,0,1,1
73,73,2023-01-01 00:52:16,2109,5559,657.42,3136,0,0,0
74,74,2023-01-01 00:53:28,3615,4739,181.54,3208,0,0,0
75,75,2023-01-01 00:55:44,3332,2254,533.88,3344,0,0,0
76,76,2023-01-01 00:55:48,3904,8641,423.95,3348,0,0,0
77,77,2023-01-01 00:55:48,4757,2889,368.43,3348,0,0,0
78,78,2023-01-01 00:57:10,975,8457,126.68,3430,0,0,0
79,79,2023-01-01 00:57:25,426,2606,777.0,3445,0,0,0
80,80,2023-01-01 00:57:30,3657,5864,221.58,3450,0,0,0
81,81,2023-01-01 00:57:34,4113,8376,174.24,3454,0,0,0
82,82,2023-01-01 00:58:09,1705,1967,192.3,3489,0,0,0
83,83,2023-01-01 00:58:36,1505,9817,134.49,3516,0,0,0
84,84,2023-01-01 00:59:37,2955,3734,486.65,3577,0,0,0
85,85,2023-01-01 00:59:43,2874,2603,149.42,3583,0,0,0
86,86,2023-01-01 01:00:17,893,7750,35.54,3617,0,0,0
87,87,2023-01-01 01:01:51,2873,4072,645.02,3711,0,0,0
88,88,2023-01-01 01:03:08,1073,6612,836.73,3788,0,0,0
89,89,2023-01-01 01:05:34,3387,7836,509.17,3934,0,0,0
